NounCategory,CosineDistance_mean,CosineDistance_min,CosineDistance_max,CosineDistance_count,CosineDistance_std,JaccardDistance_mean,JaccardDistance_min,JaccardDistance_max,JaccardDistance_count,JaccardDistance_std,CosineDistance_percentile,JaccardDistance_percentile,combined_uniqueness_score
Time Concepts,0.05645486109683083,0.0,0.19021600484848022,3312,0.03291214502010117,0.39588710492642715,0.0,0.8235294117647058,3312,0.16852350163363572,100.0,100.0,100.0
Spatial Concepts,0.056130090262704053,0.0,0.23737800121307373,3312,0.04070334235012031,0.37363825403307505,0.0,0.8888888888888888,3312,0.18237592709198971,99.22411602842564,89.90809678674664,94.56610640758615
Abstract Concepts,0.03328137560264162,0.0,0.13221199810504913,3312,0.019700684327421496,0.31924348296630906,0.0,0.75,3312,0.14300246490661642,44.63808300768241,65.23505782647831,54.93657041708036
Human Roles,0.03342516573341699,0.0,0.15076200664043427,3312,0.024404596187712225,0.29682022888544624,0.0,0.75,3312,0.14717191299388185,44.98160048528829,55.06404670347816,50.022823594383226
Inanimate Objects,0.029653697688750442,0.0,0.11553999781608582,3312,0.0233435630779269,0.25221014894927934,0.0,0.6666666666666667,3312,0.15349528857386263,35.97148843803656,34.829266435081884,35.400377436559225
Environmental Phenomena,0.02610323695403319,0.0,0.12304399907588959,3312,0.018893194103130576,0.262103561695953,0.0,0.75,3312,0.15802148311988645,27.48936724270808,39.31684039415006,33.403103818429074
Places,0.028034480351603563,0.0,0.12410099804401398,3312,0.021567946307830054,0.2380337054250098,0.0,0.6666666666666667,3312,0.15186708447544825,32.103146067436974,28.398943510052575,30.251044788744775
Food Items,0.028159713728399847,0.0,0.11861900240182877,3312,0.02152542369693162,0.23531136234940583,0.0,0.75,3312,0.15537678758016238,32.402331091312725,27.16411017129014,29.783220631301432
Social Relationships,0.019540686933626,0.0,0.08320699632167816,3312,0.014191312769875834,0.21513510643945424,0.0,0.6666666666666667,3312,0.12806034934809604,11.811304934005449,18.012319688937506,14.911812311471477
Cultural Artifacts,0.018895115017232265,0.0,0.06805899739265442,3312,0.014142985180264077,0.19685165880818054,0.0,0.6666666666666667,3312,0.1329709215507472,10.269020806875618,9.719092106809509,9.994056456842564
Plants,0.018913347195151628,0.0,0.08777199685573578,3312,0.015087128035336595,0.17542471618558572,0.0,0.5714285714285714,3312,0.1211756384745814,10.312577841954095,0.0,5.1562889209770475
Neutral Animals,0.014596690800081663,0.0,0.0817359983921051,3312,0.01485889572857429,0.18645977613368916,0.0,0.5714285714285714,3312,0.14172281108175705,0.0,5.005416121602224,2.502708060801112
