Language,Linguistic_Family,Linguistic_Subfamily,Sample_Size,Total_Responses,Unique_Responses,Response_Entropy,Lexical_Diversity,Response_Consistency,Mean_Response_Length,Code_Switching_Frequency,Mean_Response_Code,Std_Response_Code,Skewness,Kurtosis,Overall_Accuracy,Accuracy_Variance,Accuracy_CI_Lower,Accuracy_CI_Upper
AR # Arabic,Semitic,Semitic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
BN # Bengali,Indo-European-Bengali,Bengali,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
DE # German,Indo-European,Germanic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
ES # Spanish,Indo-European,Romance,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
FA # Persian,Indo-European,Indo-Iranian,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
FR # French,Indo-European,Romance,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
GA # Irish,Indo-European,Germanic,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
HE # Hebrew,Semitic,Semitic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
HI # Hindi,Indo-European,Indo-Iranian,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
IT # Italian,Indo-European,Romance,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
JA # Japanese,Japonic,Japanese,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
KO # Korean,Koreanic,Korean,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
LV # Latvian,Indo-European,Baltic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
PL # Polish,Indo-European,Slavic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
PS # Pashto,Indo-European,Indo-Iranian,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
PT # Portuguese,Indo-European,Romance,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
RU # Russian,Indo-European,Slavic,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
SQ # Albanian,Indo-European-Albanian,Albanian,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
SW # Swahili,Niger-Congo,Bantu,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
TH # Thai,Tai-Kadai,Tai,24,24,3,1.2717822211669896,0.1875,0.0,1.0,0.0,0.041666666666666664,0.8887803753208976,0.2577020904729023,-1.1583190687517606,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
TR # Turkish,Turkic,Turkic,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
UR # Urdu,Indo-European,Indo-Iranian,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
VI # Vietnamese,Austro-Asiatic,Vietic,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
ZH # Mandarin,Sino-Tibetan,Chinese,24,24,3,1.2475562484854572,0.1875,0.0,1.0,0.0,0.0,0.8660254037844386,0.36109627224972485,-0.9591049382716057,0.16666666666666666,0.14492753623188406,0.005913902640110519,0.32741943069322277
